personid,pageid,name,state,district,uniques_total,uniques_known,uniques_indistrict,posts_total,posts_known,posts_indistrict,comments_total,comments_known,comments_indistrict,postlikes_total,postlikes_known,postlikes_indistrict
400003,231704375141,"Rep. Gary Ackerman [D, NY-5]",NY,5,157,4,0,0,0,0,117,3,0,283,4,0
412414,172898846062893,"Rep. Sandy Adams [R, FL-24]",FL,24,240,6,4,0,0,0,227,10,8,521,10,10
400004,19787529402,"Rep. Robert Aderholt [R, AL-4]",AL,4,366,3,0,316,3,0,138,1,0,438,9,0
300001,109211272140,"Sen. Daniel Akaka [D, HI]",HI,,437,8,0,185,9,0,201,1,0,854,16,0
400005,78433759593,"Rep. Todd Akin [R, MO-2]",MO,2,303,4,0,0,0,0,264,3,0,625,3,0
300002,89927603836,"Sen. Lamar Alexander [R, TN]",TN,,295,3,2,0,0,0,206,1,0,521,4,4
400006,20002702544,"Rep. Rodney Alexander [R, LA-5]",LA,5,365,5,0,288,6,0,161,3,0,384,21,0
412265,186083068071784,"Rep. Steve Austria [R, OH-7]",OH,7,323,3,1,188,4,0,191,0,0,449,11,2
412216,7658849357,"Rep. Michele Bachmann [R, MN-6]",MN,6,324,1,0,376,0,0,214,0,0,242,1,0
400010,6769692966,"Rep. Spencer Bachus [R, AL-6]",AL,6,197,4,0,0,0,0,155,9,0,443,2,0
400013,72834737139,"Rep. Tammy Baldwin [D, WI-2]",WI,2,305,1,0,17,0,0,131,0,0,342,1,0
412469,192357174108435,"Rep. Lou Barletta [R, PA-11]",PA,11,206,0,0,0,0,0,181,0,0,514,0,0
412251,21146775942,"Sen. John Barrasso [R, WY]",WY,,325,6,0,307,6,0,135,1,0,363,13,0
400628,285483767395,"Rep. John Barrow [D, GA-12]",GA,12,94,2,1,0,0,0,61,1,0,114,1,1
400017,53617465987,"Rep. Roscoe Bartlett [R, MD-6]",MD,6,346,6,0,304,7,0,216,0,0,484,31,0
400018,15617630596,"Rep. Joe Barton [R, TX-6]",TX,6,226,5,1,326,20,20,319,8,7,781,32,20
400019,120969677973134,"Rep. Charles Bass [R, NH-2]",NH,2,246,12,0,209,20,0,156,2,0,832,63,0
412404,190867440939405,"Rep. Karen Bass [D, CA-33]",CA,33,238,2,1,103,2,0,200,1,1,553,4,4
300005,107825889238762,"Sen. Max Baucus [D, MT]",MT,,1,0,0,1,0,0,0,0,0,0,0,0
400021,90311772229,"Rep. Xavier Becerra [D, CA-31]",CA,31,303,0,0,0,0,0,216,0,0,577,0,0
412326,121360477876652,"Sen. Mark Begich [D, AK]",AK,,549,14,3,300,15,3,232,21,21,761,22,2
412436,124163654317596,"Rep. Dan Benishek [R, MI-1]",MI,1,354,2,1,280,0,0,239,0,0,584,14,3
412330,97172997732,"Sen. Michael Bennet [D, CO]",CO,,322,4,3,0,0,0,233,2,1,617,4,4
412458,172538576114510,"Rep. Rick Berg [R, ND-0]",ND,0,111,0,0,1,0,0,100,0,0,259,0,0
400024,99315367475,"Rep. Shelley Berkley [D, NV-1]",NV,1,265,3,1,0,0,0,189,2,0,618,1,1
400025,111019254971,"Rep. Howard Berman [D, CA-28]",CA,28,334,10,0,203,11,0,94,1,0,398,5,0
400570,1254647226,"Rep. Brian Bilbray [R, CA-50]",CA,50,186,1,0,225,2,0,71,0,0,84,0,0
412250,135445766485586,"Rep. Gus Bilirakis [R, FL-9]",FL,9,358,1,0,277,0,0,331,0,0,618,1,0
300009,6296588253,"Sen. Jeff Bingaman [D, NM]",NM,,145,0,0,0,0,0,60,0,0,243,0,0
400029,130802746950682,"Rep. Rob Bishop [R, UT-1]",UT,1,267,7,3,201,28,24,140,27,25,286,37,20
400030,366739521606,"Rep. Sanford Bishop [D, GA-2]",GA,2,150,1,1,5,0,0,80,17,17,232,0,0
400031,7940339401,"Rep. Timothy Bishop [D, NY-1]",NY,1,259,1,0,0,0,0,216,0,0,480,1,0
412478,186436274719648,"Rep. Diane Black [R, TN-6]",TN,6,438,3,2,248,1,1,313,4,1,725,6,6
400032,6470828395,"Rep. Marsha Blackburn [R, TN-7]",TN,7,419,12,4,351,7,4,112,1,0,577,38,3
400033,9252726787,"Rep. Earl Blumenauer [D, OR-3]",OR,3,613,5,1,315,2,0,174,1,0,469,4,3
412490,233344132673,"Sen. Richard Blumenthal [D, CT]",CT,,484,5,0,300,3,0,136,2,0,306,3,0
400034,142473042477322,"Sen. Roy Blunt [R, MO]",MO,,518,4,3,5,0,0,345,8,7,1082,1,1
400036,7328265549,"Rep. John Boehner [R, OH-8]",OH,8,28,0,0,7,0,0,0,0,0,60,0,0
400038,49704847429,"Rep. Jo Bonner [R, AL-1]",AL,1,206,5,0,146,6,0,67,0,0,213,13,0
400039,341247870862,"Rep. Mary Bono Mack [R, CA-45]",CA,45,401,1,0,2,0,0,303,1,0,871,0,0
400040,7686715735,"Sen. John Boozman [R, AR]",AR,,314,9,4,325,11,8,433,7,7,586,12,8
400042,1466480441,"Rep. Leonard Boswell [D, IA-3]",IA,3,113,0,0,0,0,0,46,0,0,119,0,0
400636,6377009769,"Rep. Charles Boustany [R, LA-7]",LA,7,153,3,0,111,4,0,43,1,0,123,0,0
400046,9307301412,"Rep. Kevin Brady [R, TX-8]",TX,8,354,7,2,292,8,4,310,9,9,640,16,7
400047,118845109487,"Rep. Robert Brady [D, PA-1]",PA,1,261,6,0,141,9,0,104,0,0,346,19,0
412208,15420665351,"Rep. Bruce Braley [D, IA-1]",IA,1,285,0,0,9,0,0,178,0,0,390,0,0
412395,155220881193244,"Rep. Mo Brooks [R, AL-5]",AL,5,366,5,1,306,4,0,243,0,0,522,4,3
412252,123908980957273,"Rep. Paul Broun [R, GA-10]",GA,10,344,3,0,309,5,0,167,1,0,484,12,0
412384,141799555838816,"Sen. Scott Brown [R, MA]",MA,,304,2,0,268,1,0,175,1,0,325,1,0
400050,6266829799,"Sen. Sherrod Brown [D, OH]",OH,,896,2,0,0,0,0,736,2,0,1968,5,0
412196,67106719910,"Rep. Vern Buchanan [R, FL-13]",FL,13,329,1,1,286,0,0,203,0,0,408,1,1
412427,135670516492974,"Rep. Larry Bucshon [R, IN-8]",IN,8,185,4,1,160,8,6,232,8,7,479,3,3
412456,112695845462513,"Rep. Ann Marie Buerkle [R, NY-25]",NY,25,196,2,1,0,0,0,261,3,1,678,1,1
400052,6916472567,"Rep. Michael Burgess [R, TX-26]",TX,26,423,18,0,354,32,0,202,4,0,1023,106,0
400054,16751806121,"Sen. Richard Burr [R, NC]",NC,,109,1,1,5,0,0,34,0,0,119,1,1
400055,6587960255,"Rep. Dan Burton [R, IN-5]",IN,5,362,29,1,274,37,2,271,21,0,1057,51,0
400616,6442258513,"Rep. George Butterfield [D, NC-1]",NC,1,186,16,0,220,23,0,23,0,0,551,65,0
400058,6775033524,"Rep. David Camp [R, MI-4]",MI,4,339,18,1,335,12,0,327,17,5,427,25,5
412011,60546090739,"Rep. John Campbell [R, CA-48]",CA,48,183,4,0,0,0,0,144,3,0,427,11,0
412481,119706094764203,"Rep. Francisco Canseco [R, TX-23]",TX,23,375,4,0,256,6,0,236,0,0,776,7,0
400060,10325470529,"Rep. Eric Cantor [R, VA-7]",VA,7,144,1,0,348,1,0,380,1,0,717,0,0
300018,9351652533,"Sen. Maria Cantwell [D, WA]",WA,,337,11,6,381,13,7,36,1,1,161,12,1
400061,8057864757,"Rep. Shelley Capito [R, WV-2]",WV,2,464,6,0,296,14,0,231,1,0,766,14,0
400062,168989481141,"Rep. Lois Capps [D, CA-23]",CA,23,452,12,1,286,17,0,247,2,1,1087,157,0
400063,151168844937573,"Rep. Michael Capuano [D, MA-8]",MA,8,227,6,2,128,7,3,76,2,2,255,13,1
400064,120421834675191,"Sen. Benjamin Cardin [D, MD]",MD,,222,6,0,165,5,0,185,2,0,421,22,0
400065,169404667844,"Rep. Dennis Cardoza [D, CA-18]",CA,18,110,1,0,0,0,0,43,0,0,240,5,0
400638,102176491967,"Rep. Russ Carnahan [D, MO-3]",MO,3,68,0,0,3,0,0,18,0,0,55,0,0
300019,124891107521733,"Sen. Thomas Carper [D, DE]",DE,,230,2,1,0,0,0,246,2,1,645,11,11
412258,123884330964019,"Rep. André Carson [D, IN-7]",IN,7,301,5,0,172,6,0,145,0,0,549,10,0
412246,107749545944874,"Sen. Robert Casey [D, PA]",PA,,332,7,4,0,0,0,252,3,1,624,16,15
412195,6888315697,"Rep. Kathy Castor [D, FL-11]",FL,11,485,2,0,363,2,0,103,0,0,443,0,0
400071,204705339555378,"Rep. Steven Chabot [R, OH-1]",OH,1,90,7,1,89,7,1,22,0,0,177,13,1
412270,212373730233,"Rep. Jason Chaffetz [R, UT-3]",UT,3,440,4,0,325,4,0,280,1,0,496,2,0
400073,138013351189,"Del. Donna Christensen [D, VI-0]",VI,0,150,0,0,41,0,0,73,0,0,254,0,0
412379,41228315130,"Rep. Judy Chu [D, CA-32]",CA,32,286,2,0,10,0,0,164,0,0,575,2,0
412470,186949061341027,"Rep. David Cicilline [D, RI-1]",RI,1,172,2,1,69,1,1,164,3,0,488,17,0
412440,184181851603316,"Rep. Hansen Clarke [D, MI-13]",MI,13,305,8,1,166,11,1,119,5,0,492,2,0
412221,135031389892682,"Rep. Yvette Clarke [D, NY-11]",NY,11,91,1,0,1,0,0,41,1,0,190,0,0
400639,7954512692,"Rep. Emanuel Cleaver [D, MO-5]",MO,5,347,2,1,0,0,0,218,1,0,581,1,1
400075,127744320598870,"Rep. James Clyburn [D, SC-6]",SC,6,194,1,0,0,0,0,104,1,0,282,0,0
402675,180671148633644,"Sen. Daniel Coats [R, IN]",IN,,277,3,1,196,4,2,215,0,0,473,2,0
400076,208742429162356,"Rep. Howard Coble [R, NC-6]",NC,6,124,7,0,79,4,0,38,0,0,245,36,0
400576,90844078615,"Sen. Thomas Coburn [R, OK]",OK,,282,5,2,374,5,2,60,1,1,187,3,3
412271,366142384492,"Rep. Mike Coffman [R, CO-6]",CO,6,245,0,0,6,0,0,201,0,0,547,0,0
412236,111456965545421,"Rep. Steve Cohen [D, TN-9]",TN,9,454,17,0,393,19,0,111,2,0,1130,43,0
300025,7593313361,"Sen. Susan Collins [R, ME]",ME,,350,4,2,0,0,0,225,5,2,592,0,0
400655,203482063021985,"Rep. Michael Conaway [R, TX-11]",TX,11,274,1,1,168,0,0,165,0,0,406,5,5
412272,177164035838,"Rep. Gerald Connolly [D, VA-11]",VA,11,233,0,0,216,0,0,147,0,0,237,0,0
300026,281958627884,"Sen. Kent Conrad [D, ND]",ND,,244,2,0,0,0,0,165,1,0,478,1,0
400080,206947066849,"Rep. John Conyers [D, MI-14]",MI,14,189,4,1,3,0,0,118,2,1,270,3,1
412390,7209432197,"Sen. Chris Coons [D, DE]",DE,,465,12,0,374,22,0,127,3,0,579,44,0
412248,109251415789533,"Sen. Bob Corker [R, TN]",TN,,303,6,4,0,0,0,268,4,3,685,16,14
300027,75755694423,"Sen. John Cornyn [R, TX]",TX,,234,2,2,345,27,27,372,6,6,343,0,0
400082,115552205154936,"Rep. Jerry Costello [D, IL-12]",IL,12,185,1,0,0,0,0,140,1,0,407,0,0
412193,330408799230,"Rep. Joe Courtney [D, CT-2]",CT,2,238,3,2,0,0,0,281,3,2,708,12,4
300030,80335332266,"Sen. Michael Crapo [R, ID]",ID,,281,2,1,9,0,0,277,2,2,743,4,3
412441,181282228558193,"Rep. Chip Cravaack [R, MN-8]",MN,8,175,1,1,3,0,0,195,0,0,567,3,3
412400,143344975723788,"Rep. Rick Crawford [R, AR-1]",AR,1,285,2,2,194,1,1,298,0,0,835,5,5
400086,200388204657,"Rep. Ander Crenshaw [R, FL-4]",FL,4,180,4,1,158,5,1,79,1,1,270,22,0
412386,124105914288036,"Rep. Mark Critz [D, PA-12]",PA,12,139,0,0,0,0,0,79,0,0,241,0,0
400087,22137505280,"Rep. Joseph Crowley [D, NY-7]",NY,7,293,2,1,216,3,2,125,0,0,269,0,0
400657,152569121550,"Rep. Henry Cuellar [D, TX-28]",TX,28,227,1,1,4,0,0,185,2,2,590,2,2
400089,1751723339,"Rep. John Culberson [R, TX-7]",TX,7,76,1,1,0,0,0,39,2,2,74,4,4
400090,291368465380,"Rep. Elijah Cummings [D, MD-7]",MD,7,209,2,0,0,0,0,115,0,0,265,2,0
400093,100001075814721,"Rep. Danny Davis [D, IL-7]",IL,7,22,0,0,24,0,0,6,0,0,4,0,0
400633,6442966307,"Rep. Geoff Davis [R, KY-4]",KY,4,420,5,1,370,5,1,135,2,0,303,11,0
400097,103767526332478,"Rep. Susan Davis [D, CA-53]",CA,53,249,3,2,0,0,0,201,3,2,425,0,0
400100,94324364811,"Rep. Peter DeFazio [D, OR-4]",OR,4,226,0,0,0,0,0,130,0,0,320,0,0
400101,110757973488,"Rep. Diana DeGette [D, CO-1]",CO,1,465,15,0,367,26,0,196,1,0,947,95,0
400103,181302611907634,"Rep. Rosa DeLauro [D, CT-3]",CT,3,71,1,1,51,1,1,20,0,0,39,0,0
400105,19787180818,"Sen. Jim DeMint [R, SC]",SC,,298,2,1,346,2,1,27,0,0,152,2,0
412403,133714040028137,"Rep. Jeff Denham [R, CA-19]",CA,19,285,0,0,179,0,0,260,0,0,622,0,0
400648,69862092533,"Rep. Charles Dent [R, PA-15]",PA,15,335,3,0,272,5,0,407,0,0,699,15,0
412477,145110472209094,"Rep. Scott DesJarlais [R, TN-4]",TN,4,218,2,1,351,1,1,354,1,1,662,4,2
412385,112179098816942,"Rep. Ted Deutch [D, FL-19]",FL,19,257,6,2,161,4,0,117,1,1,439,3,1
400108,119538428117878,"Rep. Mario Diaz-Balart [R, FL-21]",FL,21,35,0,0,0,0,0,13,0,0,52,0,0
400109,19693668376,"Rep. Norman Dicks [D, WA-6]",WA,6,121,3,0,1,0,0,87,0,0,178,4,0
400110,87490183861,"Rep. John Dingell [D, MI-15]",MI,15,419,18,1,217,18,0,133,1,0,1296,85,1
