personid,pageid,name,state,district,uniques_total,uniques_known,uniques_indistrict,posts_total,posts_known,posts_indistrict,comments_total,comments_known,comments_indistrict,postlikes_total,postlikes_known,postlikes_indistrict
400003,231704375141,Government official,"Rep. Gary Ackerman [D, NY-5]",NY,5,178,6,1,0,0,0,151,5,1,325,4,0
412414,172898846062893,Government official,"Rep. Sandy Adams [R, FL-24]",FL,24,308,8,4,0,0,0,293,11,8,618,11,10
400004,19787529402,Government official,"Rep. Robert Aderholt [R, AL-4]",AL,4,365,5,1,313,4,1,136,2,1,423,10,0
300001,109211272140,Government official,"Sen. Daniel Akaka [D, HI]",HI,,448,8,0,159,8,0,220,1,0,924,17,0
400005,78433759593,Government official,"Rep. Todd Akin [R, MO-2]",MO,2,345,4,0,0,0,0,296,3,0,678,4,0
300002,89927603836,Government official,"Sen. Lamar Alexander [R, TN]",TN,,363,5,3,0,0,0,276,4,2,610,5,5
400006,20002702544,Government official,"Rep. Rodney Alexander [R, LA-5]",LA,5,386,8,2,297,13,1,188,4,1,414,26,4
412438,173604349345646,Government official,"Rep. Justin Amash [R, MI-3]",MI,3,596,8,2,326,5,3,292,2,0,686,22,0
412265,186083068071784,Government official,"Rep. Steve Austria [R, OH-7]",OH,7,362,3,1,212,4,0,231,0,0,514,10,2
412493,123436097729198,Government official,"Sen. Kelly Ayotte [R, NH]",NH,,335,8,1,318,7,0,222,3,2,621,25,2
412216,7658849357,Government official,"Rep. Michele Bachmann [R, MN-6]",MN,6,351,4,0,367,4,0,234,2,0,339,2,0
400010,6769692966,Government official,"Rep. Spencer Bachus [R, AL-6]",AL,6,252,6,0,0,0,0,268,27,0,517,6,0
412469,192357174108435,Government official,"Rep. Lou Barletta [R, PA-11]",PA,11,275,1,1,0,0,0,281,0,0,774,1,1
412251,21146775942,Government official,"Sen. John Barrasso [R, WY]",WY,,353,5,0,283,3,0,158,2,0,383,0,0
400628,285483767395,Government official,"Rep. John Barrow [D, GA-12]",GA,12,124,2,1,0,0,0,82,1,0,138,1,1
400018,15617630596,Politician,"Rep. Joe Barton [R, TX-6]",TX,6,193,6,2,239,10,8,382,9,7,652,31,17
400019,120969677973134,Government official,"Rep. Charles Bass [R, NH-2]",NH,2,231,12,0,215,19,0,186,4,0,755,63,0
412404,190867440939405,Government official,"Rep. Karen Bass [D, CA-33]",CA,33,315,3,1,148,2,0,302,2,1,781,5,4
300005,107825889238762,Politician,"Sen. Max Baucus [D, MT]",MT,,1,0,0,1,0,0,0,0,0,0,0,0
400021,90311772229,Government official,"Rep. Xavier Becerra [D, CA-31]",CA,31,358,1,0,0,0,0,253,1,0,662,0,0
412326,121360477876652,Government official,"Sen. Mark Begich [D, AK]",AK,,552,15,3,284,15,1,254,19,15,785,22,2
412436,124163654317596,Government official,"Rep. Dan Benishek [R, MI-1]",MI,1,379,1,0,250,0,0,287,0,0,625,19,0
412330,97172997732,Government official,"Sen. Michael Bennet [D, CO]",CO,,398,6,4,0,0,0,302,3,1,694,14,14
412458,172538576114510,Government official,"Rep. Rick Berg [R, ND-0]",ND,0,129,0,0,1,0,0,141,0,0,304,0,0
400024,99315367475,Government official,"Rep. Shelley Berkley [D, NV-1]",NV,1,306,4,1,0,0,0,222,3,0,674,1,1
400025,111019254971,Government official,"Rep. Howard Berman [D, CA-28]",CA,28,376,13,0,191,10,0,140,3,0,490,10,0
400027,53302603811,Government official,"Rep. Judy Biggert [R, IL-13]",IL,13,388,13,3,214,12,1,262,1,1,554,27,3
400570,1254647226,,"Rep. Brian Bilbray [R, CA-50]",CA,50,172,1,0,212,2,0,57,0,0,57,0,0
412250,135445766485586,Government official,"Rep. Gus Bilirakis [R, FL-9]",FL,9,313,5,3,314,1,1,368,5,5,538,4,1
300009,6296588253,Government official,"Sen. Jeff Bingaman [D, NM]",NM,,159,0,0,0,0,0,72,0,0,255,0,0
400029,130802746950682,Government official,"Rep. Rob Bishop [R, UT-1]",UT,1,280,7,3,186,11,7,145,8,5,305,40,23
400030,366739521606,Government official,"Rep. Sanford Bishop [D, GA-2]",GA,2,150,1,1,5,0,0,77,14,14,230,0,0
400031,7940339401,Politician,"Rep. Timothy Bishop [D, NY-1]",NY,1,308,1,0,0,0,0,269,0,0,597,1,0
412478,186436274719648,Government official,"Rep. Diane Black [R, TN-6]",TN,6,387,2,2,268,1,1,329,0,0,598,7,7
400032,6470828395,Government official,"Rep. Marsha Blackburn [R, TN-7]",TN,7,458,6,2,317,3,2,190,1,0,497,2,0
400033,9252726787,Politician,"Rep. Earl Blumenauer [D, OR-3]",OR,3,619,8,1,300,3,0,195,1,0,508,6,2
412490,233344132673,Politician,"Sen. Richard Blumenthal [D, CT]",CT,,505,7,3,310,4,2,165,2,0,343,4,1
400034,142473042477322,Government official,"Sen. Roy Blunt [R, MO]",MO,,614,9,8,5,0,0,421,24,23,1264,5,5
400036,7328265549,Politician,"Rep. John Boehner [R, OH-8]",OH,8,67,0,0,6,0,0,0,0,0,119,0,0
400038,49704847429,Government official,"Rep. Jo Bonner [R, AL-1]",AL,1,209,4,0,161,5,0,97,1,0,212,13,0
400039,341247870862,Public figure,"Rep. Mary Bono Mack [R, CA-45]",CA,45,457,2,0,2,0,0,342,2,0,1009,0,0
